iter	Passed	Remaining
407	9738	38000
408	9754	37943
409	9768	37881
410	9780	37812
411	9791	37739
412	9805	37680
413	9821	37625
414	9837	37574
415	9850	37508
416	9867	37457
417	9885	37412
418	9899	37353
419	9914	37298
420	9925	37227
421	9938	37164
422	9951	37100
423	9964	37039
424	9979	36984
425	9997	36940
426	10015	36896
427	10027	36830
428	10040	36768
429	10053	36708
430	10068	36651
431	10086	36610
432	10104	36567
433	10120	36519
434	10136	36466
435	10150	36411
436	10164	36355
437	10180	36304
438	10193	36244
439	10207	36190
440	10223	36142
441	10250	36131
442	10269	36093
443	10285	36045
444	10301	35996
445	10318	35952
446	10332	35898
447	10347	35846
448	10364	35802
449	10380	35756
450	10395	35703
451	10407	35642
452	10420	35584
453	10433	35530
454	10444	35464
455	10454	35399
456	10466	35340
457	10478	35280
458	10493	35228
459	10503	35165
460	10514	35101
461	10529	35053
462	10541	34994
463	10554	34938
464	10566	34879
465	10578	34822
466	10594	34779
467	10612	34738
468	10625	34685
469	10637	34630
470	10652	34579
471	10665	34528
472	10682	34486
473	10696	34437
474	10710	34387
475	10724	34337
476	10739	34289
477	10751	34234
478	10765	34184
479	10785	34153
480	10800	34107
481	10811	34050
482	10824	33996
483	10837	33944
484	10848	33889
485	10859	33831
486	10871	33776
487	10885	33725
488	10897	33673
489	10910	33622
490	10926	33579
491	10943	33542
492	10964	33515
493	10980	33474
494	10994	33428
495	11011	33388
496	11024	33340
497	11036	33286
498	11048	33232
499	11060	33180
500	11072	33129
501	11085	33078
502	11096	33024
503	11107	32969
504	11121	32924
505	11132	32868
506	11144	32816
507	11156	32766
508	11167	32713
509	11179	32662
510	11191	32611
511	11204	32561
512	11220	32523
513	11230	32466
514	11241	32415
515	11253	32364
516	11264	32310
517	11273	32254
518	11284	32200
519	11294	32144
520	11303	32089
521	11313	32032
522	11322	31974
523	11331	31918
524	11341	31864
525	11351	31811
526	11361	31756
527	11371	31701
528	11381	31648
529	11390	31593
530	11401	31541
531	11410	31485
532	11420	31434
533	11430	31379
534	11441	31329
535	11450	31275
536	11460	31221
537	11470	31171
538	11480	31118
539	11490	31066
540	11500	31016
541	11510	30964
542	11520	30911
543	11529	30859
544	11539	30807
545	11549	30755
546	11558	30703
547	11569	30655
548	11581	30608
549	11590	30558
550	11601	30509
551	11612	30460
552	11622	30410
553	11632	30360
554	11641	30310
555	11650	30258
556	11660	30208
557	11671	30160
558	11681	30112
559	11690	30060
560	11701	30013
561	11710	29964
562	11720	29916
563	11731	29869
564	11741	29821
565	11753	29777
566	11763	29730
567	11772	29680
568	11784	29638
569	11795	29591
570	11805	29545
571	11814	29495
572	11825	29450
573	11835	29403
574	11845	29355
575	11854	29307
576	11864	29260
577	11873	29211
578	11884	29166
579	11894	29120
580	11904	29073
581	11913	29027
582	11923	28979
583	11933	28933
584	11942	28886
585	11953	28842
586	11964	28800
587	11977	28763
588	11989	28722
589	12001	28682
590	12014	28643
591	12024	28599
592	12039	28565
593	12051	28526
594	12063	28485
595	12076	28447
596	12087	28405
597	12099	28367
598	12111	28328
599	12124	28290
600	12137	28252
601	12150	28217
602	12166	28187
603	12180	28151
604	12191	28111
605	12204	28074
60612	12242	277060613	12255	276660614	12270	276360615	12285	276061616	12298	275661617	12312	27534
618	12327	27502
619	12341	27469
620	12355	27436
621	12368	27402
622	12384	27373
623	12401	27346
624	12415	27313
625	12427	27277
626	12442	27246
627	12456	27213
628	12470	27180
629	12485	27151
630	12500	27121
631	12514	27088
632	12528	27056
633	12541	27021
634	12554	26986
635	12567	26952
636	12579	26917
637	12593	26885
638	12606	26851
639	12620	26818
640	12631	26779
641	12640	26738
642	12652	26703
643	12663	26663
644	12673	26624
645	12684	26586
646	12695	26549
647	12705	26508
648	12716	26471
649	12727	26434
650	12739	26398
651	12748	26357
652	12757	26316
653	12769	26280
654	12781	26245
655	12793	26211
656	12804	26175
657	12817	26141
658	12828	26105
659	12838	26065
660	12850	26030
661	12860	25993
662	12871	25955
663	12882	25919
664	12893	25883
665	12906	25851
666	12921	25822
667	12934	25791
668	12946	25757
669	12958	25724
670	12970	25689
671	12982	25656
672	12996	25625
673	13008	25593
674	13021	25561
675	13034	25529
676	13048	25499
677	13061	25467
678	13074	25436
679	13087	25406
680	13101	25375
681	13113	25342
682	13127	25313
683	13139	25280
684	13152	25248
685	13165	25217
686	13179	25188
687	13191	25155
688	13204	25124
689	13215	25089
690	13227	25058
691	13241	25029
692	13253	24995
693	13267	24966
694	13278	24933
695	13291	24901
696	13303	24869
697	13314	24836
698	13325	24802
699	13337	24769
700	13348	24736
701	13359	24701
702	13370	24668
703	13381	24634
704	13393	24602
705	13405	24569
706	13415	24535
707	13426	24500
708	13437	24467
709	13450	24437
710	13461	24405
711	13472	24371
712	13484	24339
713	13496	24309
714	13508	24277
715	13519	24244
716	13529	24210
717	13542	24180
718	13555	24150
719	13567	24119
720	13581	24092
721	13594	24063
722	13606	24032
723	13619	24003
724	13628	23967
725	13640	23937
726	13650	23902
727	13662	23872
728	13674	23840
729	13687	23812
730	13704	23789
731	13716	23760
732	13728	23730
733	13743	23704
734	13759	23680
735	13775	23658
736	13786	23625
737	13798	23596
738	13810	23565
739	13822	23534
740	13835	23507
741	13852	23485
742	13866	23459
743	13881	23435
744	13893	23404
745	13902	23370
746	13912	23336
747	13925	23308
748	13936	23277
749	13951	23251
750	13964	23224
751	13978	23198
752	13990	23169
753	14003	23140
754	14018	23117
755	14031	23088
756	14042	23057
757	14055	23029
758	14066	23000
759	14082	22976
760	14092	22943
761	14104	22915
762	14117	22888
763	14133	22865
764	14148	22840
765	14162	22815
766	14173	22785
767	14186	22757
768	14198	22728
769	14214	22706
770	14231	22685
771	14244	22659
772	14257	22630
773	14270	22604
774	14285	22580
775	14293	22546
776	14304	22514
777	14316	22487
778	14330	22461
779	14341	22430
780	14353	22402
781	14365	22375
782	14375	22343
783	14388	22316
784	14401	22289
785	14413	22262
786	14425	22234
787	14437	22205
788	14449	22177
789	14460	22148
790	14472	22120
791	14486	22096
792	14499	22069
793	14511	22041
794	14525	22016
795	14540	21994
796	14553	21966
797	14563	21937
798	14575	21908
799	14587	21881
800	14601	21856
801	14612	21828
802	14625	21802
803	14638	21776
804	14652	21751
805	14665	21724
806	14682	21704
807	14698	21684
808	14710	21657
809	14723	21631
810	14737	21606
811	14749	21579
812	14765	21558
813	14777	21530
814	14789	21503
815	14799	21474
816	14812	21448
817	14824	21421
818	14836	21394
819	14850	21370
820	14863	21344
821	14874	21316
822	14886	21288
823	14899	21264
824	14912	21238
825	14924	21212
826	14935	21184
827	14948	21158
828	14962	21134
829	14974	21108
830	14986	21081
831	15000	21058
832	15017	21038
833	15031	21015
834	15044	20990
835	15058	20966
836	15069	20938
837	15081	20913
838	15098	20892
839	15108	20863
840	15121	20839
841	15135	20815
842	15145	20786
843	15156	20758
844	15168	20732
845	15181	20708
846	15196	20686
847	15211	20664
848	15223	20638
849	15234	20610
850	15244	20583
851	15255	20554
852	15266	20528
853	15277	20500
854	15290	20476
855	15300	20447
856	15310	20420
857	15324	20397
858	15344	20381
859	15361	20363
860	15373	20337
861	15385	20311
862	15402	20292
863	15415	20268
864	15431	20247
865	15449	20230
866	15463	20208
867	15477	20185
868	15495	20167
869	15512	20147
870	15525	20124
871	15543	20106
872	15557	20083
873	15571	20061
874	15582	20034
875	15594	20008
876	15609	19988
877	15623	19965
878	15639	19945
879	15653	19922
880	15664	19896
881	15677	19872
882	15688	19845
883	15706	19828
884	15727	19814
885	15745	19797
886	15760	19776
887	15776	19756
888	15789	19732
889	15805	19712
890	15818	19689
891	15833	19667
892	15846	19644
893	15860	19621
894	15874	19599
895	15886	19574
896	15900	19552
897	15917	19533
898	15928	19507
899	15940	19482
900	15950	19455
901	15966	19436
902	15988	19423
903	16012	19413
904	16025	19390
905	16038	19366
906	16053	19345
907	16074	19331
908	16088	19309
909	16102	19287
910	16113	19261
911	16133	19246
912	16144	19220
913	16156	19196
914	16165	19169
915	16177	19144
916	16189	19120
917	16199	19093
918	16209	19066
919	16221	19042
920	16231	19016
921	16243	18991
922	16258	18970
923	16270	18947
924	16282	18922
925	16294	18899
926	16314	18884
927	16332	18867
928	16346	18845
929	16366	18830
930	16385	18813
931	16409	18803
932	16421	18779
933	16433	18756
934	16448	18735
935	16460	18711
936	16471	18686
937	16484	18663
938	16494	18638
939	16504	18611
940	16519	18591
941	16533	18569
942	16549	18550
943	16568	18534
944	16582	18512
945	16598	18493
946	16610	18469
947	16628	18452
948	16641	18429
949	16650	18403
950	16660	18377
951	16676	18358
952	16689	18335
953	16700	18311
954	16712	18287
955	16724	18264
956	16738	18242
957	16749	18218
958	16761	18195
959	16774	18172
960	16786	18148
961	16798	18125
962	16809	18101
963	16825	18082
964	16835	18056
965	16847	18032
966	16856	18006
967	16871	17986
968	16888	17968
969	16902	17947
970	16914	17924
971	16929	17905
972	16940	17880
973	16951	17856
974	16962	17832
975	16973	17808
976	16986	17786
977	16995	17760
978	17006	17736
979	17021	17716
980	17033	17693
981	17045	17670
982	17054	17644
983	17066	17621
984	17079	17599
985	17092	17577
986	17103	17553
987	17114	17530
988	17126	17507
989	17137	17483
990	17148	17460
991	17163	17440
992	17174	17416
993	17187	17394
994	17198	17371
995	17210	17348
996	17223	17327
997	17235	17304
998	17246	17281
999	17258	17258
1000	17271	17236
1001	17281	17212
1002	17294	17190
1003	17309	17171
1004	17323	17150
1005	17335	17128
1006	17345	17104
1007	17360	17085
1008	17375	17065
1009	17391	17047
1010	17404	17025
1011	17418	17005
1012	17428	16981
1013	17441	16959
1014	17453	16937
1015	17463	16913
1016	17474	16890
1017	17487	16868
1018	17498	16846
1019	17512	16825
1020	17524	16804
1021	17537	16782
1022	17549	16760
1023	17564	16741
1024	17579	16722
1025	17592	16701
1026	17605	16679
1027	17619	16659
1028	17631	16637
1029	17646	16618
1030	17658	16596
1031	17668	16573
1032	17680	16550
1033	17692	16529
1034	17706	16508
1035	17717	16486
1036	17730	16464
1037	17740	16441
1038	17751	16419
1039	17763	16396
1040	17773	16373
1041	17783	16350
1042	17794	16327
1043	17804	16303
1044	17816	16281
1045	17827	16259
1046	17839	16237
1047	17852	16216
1048	17864	16195
1049	17876	16173
1050	17891	16154
1051	17904	16134
1052	17917	16114
1053	17932	16094
1054	17944	16073
1055	17957	16052
1056	17969	16031
1057	17982	16010
1058	17996	15991
1059	18010	15971
1060	18021	15949
1061	18034	15928
1062	18046	15907
1063	18062	15889
1064	18076	15870
1065	18086	15847
1066	18097	15825
1067	18108	15802
1068	18120	15781
1069	18130	15758
1070	18140	15735
1071	18150	15712
1072	18160	15689
1073	18172	15667
1074	18182	15645
1075	18193	15623
1076	18204	15601
1077	18215	15579
1078	18224	15555
1079	18234	15533
1080	18246	15511
1081	18258	15490
1082	18269	15468
1083	18281	15447
1084	18294	15428
1085	18307	15408
1086	18320	15388
1087	18341	15374
1088	18354	15354
1089	18365	15332
1090	18374	15309
1091	18384	15287
1092	18394	15264
1093	18405	15242
1094	18415	15220
1095	18425	15197
1096	18435	15175
1097	18446	15154
1098	18458	15133
1099	18470	15112
1100	18482	15091
1101	18493	15069
1102	18504	15048
1103	18516	15028
1104	18528	15007
1105	18541	14987
1106	18553	14966
1107	18565	14946
1108	18576	14924
1109	18587	14903
1110	18599	14883
1111	18611	14862
1112	18622	14841
1113	18632	14819
1114	18642	14796
1115	18652	14774
1116	18662	14752
1117	18671	14730
1118	18681	14707
1119	18690	14685
1120	18700	14663
1121	18710	14641
1122	18720	14619
1123	18732	14599
1124	18743	14578
1125	18754	14557
1126	18764	14535
1127	18773	14513
1128	18781	14489
1129	18791	14467
1130	18802	14446
1131	18811	14424
1132	18821	14402
1133	18831	14381
1134	18843	14360
1135	18855	14340
1136	18866	14320
1137	18877	14299
1138	18888	14278
1139	18899	14257
1140	18910	14236
1141	18922	14216
1142	18933	14195
1143	18946	14176
1144	18957	14156
1145	18969	14136
1146	18982	14116
1147	18994	14096
1148	19007	14077
1149	19018	14056
1150	19029	14036
1151	19039	14015
1152	19050	13994
1153	19061	13973
1154	19071	13952
1155	19081	13931
1156	19093	13911
1157	19105	13892
1158	19116	13871
1159	19127	13851
1160	19140	13831
1161	19151	13811
1162	19162	13791
1163	19176	13773
1164	19188	13753
1165	19199	13732
1166	19209	13711
1167	19220	13691
1168	19231	13670
1169	19242	13650
1170	19254	13630
1171	19265	13610
1172	19277	13590
1173	19287	13570
1174	19298	13549
1175	19311	13530
1176	19327	13514
1177	19341	13496
1178	19354	13477
1179	19368	13459
1180	19382	13441
1181	19394	13422
1182	19407	13403
1183	19421	13384
1184	19433	13365
1185	19445	13346
1186	19460	13329
1187	19472	13309
1188	19483	13289
1189	19494	13269
1190	19506	13250
1191	19518	13230
1192	19530	13211
1193	19543	13192
1194	19555	13173
1195	19568	13154
1196	19579	13134
1197	19591	13115
1198	19603	13096
1199	19614	13076
1200	19627	13058
1201	19640	13039
1202	19651	13019
1203	19666	13002
1204	19683	12986
1205	19693	12965
1206	19704	12945
1207	19715	12925
1208	19725	12905
1209	19738	12887
1210	19749	12867
1211	19760	12847
1212	19771	12828
1213	19785	12809
1214	19797	12791
1215	19810	12772
1216	19822	12753
1217	19836	12735
1218	19847	12716
1219	19859	12697
1220	19869	12676
1221	19883	12659
1222	19897	12641
1223	19908	12621
1224	19921	12603
1225	19934	12585
1226	19945	12565
1227	19956	12546
1228	19969	12527
1229	19980	12507
1230	19993	12489
1231	20005	12471
1232	20022	12455
1233	20035	12436
1234	20044	12416
1235	20056	12397
1236	20068	12378
1237	20081	12360
1238	20095	12342
1239	20108	12324
1240	20121	12306
1241	20136	12289
1242	20150	12271
1243	20160	12251
1244	20173	12233
1245	20184	12214
1246	20196	12195
1247	20208	12177
1248	20220	12158
1249	20232	12139
1250	20248	12122
1251	20259	12103
1252	20273	12086
1253	20283	12066
1254	20294	12047
1255	20308	12029
1256	20320	12011
1257	20330	11991
1258	20342	11972
1259	20352	11953
1260	20364	11934
1261	20378	11917
1262	20391	11898
1263	20402	11880
1264	20413	11860
1265	20430	11845
1266	20443	11827
1267	20453	11807
1268	20464	11788
1269	20473	11768
1270	20484	11749
1271	20497	11731
1272	20510	11713
1273	20522	11694
1274	20535	11677
1275	20549	11659
1276	20567	11644
1277	20585	11629
1278	20596	11610
1279	20606	11591
1280	20618	11572
1281	20631	11554
1282	20644	11537
1283	20655	11518
1284	20669	11500
1285	20681	11482
1286	20694	11464
1287	20707	11446
1288	20719	11428
1289	20732	11410
1290	20744	11392
1291	20760	11376
1292	20774	11359
1293	20787	11341
1294	20799	11323
1295	20811	11304
1296	20822	11286
1297	20834	11267
1298	20844	11248
